Quantidade de comparaçoes na busca: 37425
chave: 32510, status: O
chave: 510, status: O
chave: 24510, status: O
chave: 64505, status: O
chave: 40504, status: O
chave: 508, status: O
chave: 72508, status: O
chave: 32506, status: O
chave: 8505, status: O
chave: 80501, status: O
chave: 72505, status: O
chave: 16507, status: O
chave: 64504, status: O
chave: 64509, status: O
chave: 16503, status: O
chave: 64503, status: O
chave: 56508, status: O
chave: 16501, status: O
chave: 72501, status: O
chave: 8508, status: O
chave: 88503, status: O
chave: 88500, status: O
chave: 80506, status: O
chave: 24500, status: O
chave: 72506, status: O
chave: 16506, status: O
chave: 88510, status: O
chave: 56510, status: O
chave: 32500, status: O
chave: 16508, status: O
chave: 501, status: O
chave: 88505, status: O
chave: 56503, status: O
chave: 48502, status: O
chave: 80505, status: O
chave: 16505, status: O
chave: 80508, status: O
chave: 56509, status: O
chave: 505, status: O
chave: 72510, status: O
chave: 80507, status: O
chave: 48506, status: O
chave: 504, status: O
chave: 56507, status: O
chave: 32507, status: O
chave: 32503, status: O
chave: 64506, status: O
chave: 56501, status: O
chave: 88506, status: O
chave: 72500, status: O
chave: 64501, status: O
chave: 24503, status: O
chave: 8509, status: O
chave: 502, status: O
chave: 56505, status: O
chave: 80502, status: O
chave: 48503, status: O
chave: 24505, status: O
chave: 40508, status: O
chave: 24508, status: O
chave: 64502, status: O
chave: 24504, status: O
chave: 56500, status: O
chave: 506, status: O
chave: 8503, status: O
chave: 56504, status: O
chave: 509, status: O
chave: 72503, status: O
chave: 40500, status: O
chave: 72507, status: O
chave: 32509, status: O
chave: 8502, status: O
chave: 48505, status: O
chave: 507, status: O
chave: 88501, status: O
chave: 16502, status: O
chave: 40503, status: O
chave: 32504, status: O
chave: 32502, status: O
chave: 500, status: O
chave: 80510, status: O
chave: 48500, status: O
chave: 40509, status: O
chave: 24509, status: O
chave: 72502, status: O
chave: 16500, status: O
chave: 40502, status: O
chave: 16509, status: O
chave: 56506, status: O
chave: 88509, status: O
chave: 24507, status: O
chave: 64507, status: O
chave: 8504, status: O
chave: 40506, status: O
chave: 72509, status: O
chave: 64508, status: O
chave: 24506, status: O
chave: 48510, status: O
chave: 88502, status: O
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 29500, status: O
chave: 5501, status: O
chave: 53500, status: O
chave: 21503, status: O
chave: 29501, status: O
chave: 29505, status: O
chave: 69502, status: O
chave: 77507, status: O
chave: 61507, status: O
chave: 5509, status: O
chave: 29508, status: O
chave: 45508, status: O
chave: 5503, status: O
chave: 21502, status: O
chave: 77500, status: O
chave: 69508, status: O
chave: 85501, status: O
chave: 77505, status: O
chave: 69506, status: O
chave: 29506, status: O
chave: 69510, status: O
chave: 69507, status: O
chave: 77510, status: O
chave: 37505, status: O
chave: 45501, status: O
chave: 61503, status: O
chave: 77504, status: O
chave: 13504, status: O
chave: 5510, status: O
chave: 37502, status: O
chave: 61506, status: O
chave: 53509, status: O
chave: 37506, status: O
chave: 5506, status: O
chave: 13507, status: O
chave: 29510, status: O
chave: 69504, status: O
chave: 21510, status: O
chave: 53508, status: O
chave: 29504, status: O
chave: 85509, status: O
chave: 37501, status: O
